,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1934,-1.919019202,1.088111562,-0.231227109,0.877239918,0,0.138828957,0.221959079,0.792041978,-0.012636363,0.661712329,0.600223028,0.639411201,0.137171175,-0.706976991,-0.283430965,-0.788349268,-0.383099574,0.687499384,-0.658161685,0.142650783,0.02505355,0.534027903,-0.103930845
1935,-2.624220119,0.03325139,0.149889707,0.733179988,0,0.015784411,0.109257872,0.494900864,0.082179149,0.437270287,0.216546151,0.097435768,0.264952466,-0.36438088,-0.426508457,-0.603874526,-0.058433062,0.241772111,0.03409747,0.095225689,0.212367778,0.018296253,0.152625331
1936,-2.596278594,-0.380547303,0.067492621,0.782221189,0,0.138168577,0.059068521,0.335868108,0.01736165,0.527115408,0.212809608,0.031705594,0.272840071,-0.338116095,-0.400949865,-0.645357625,-0.02434922,0.190223142,0.049695168,0.081125771,0.194310407,0.023728524,0.139262034
1937,-2.508952369,-0.772234426,-0.011465401,0.811190087,0,0.238728326,0.026226157,0.170302637,-0.052022597,0.619295772,0.209397552,-0.010092919,0.278696341,-0.318307878,-0.37767789,-0.673689897,0.024077444,0.13891246,0.050392425,0.055945418,0.164135,0.042110519,0.131663569
1938,-0.364410309,2.194049102,-0.720993218,0.715971689,0,-0.109183552,-0.308335891,-0.063992227,-0.48726866,-0.299651771,2.528067388,-1.500018539,0.48516519,-0.337590644,0.40169095,-0.278314519,0.409675116,-0.795634054,0.315157859,0.089451994,-0.416543091,0.135148387,-1.726850971
1939,-0.530802506,1.715125729,-0.907865032,0.71212053,0,-0.257626259,-0.412237323,-0.511003439,-0.93586317,1.183105645,2.062321211,-0.025227643,0.334369032,-0.458941596,0.113489587,0.001043297,-0.298464381,-0.446910229,0.698570839,0.376877087,0.166976263,-0.065258916,-1.687982163
1940,-2.408899169,0.650059525,0.223678343,0.88384042,0,0.331103695,0.235525283,1.141087598,0.493923611,-0.944489244,1.083927391,-1.399424187,0.455860866,-0.675208773,-0.273622842,-1.65543861,0.746740047,-0.092980783,-0.088769959,-0.091555004,-0.151363097,0.336435786,0.148524642
1941,-2.070938004,0.197895126,-0.056324398,0.559871927,0,0.124826627,0.138578982,0.426827822,-0.137662161,0.843235873,0.501152318,0.662649999,0.212324798,-0.745033185,-0.351793296,-0.89505818,-0.147954316,0.479028837,-0.732864503,0.07363499,-0.127999557,0.323846442,0.151490504
1942,-1.859552387,-0.92736114,-0.278024239,0.674617457,0,0.403943026,0.048600843,-0.018309582,-0.322914244,1.110383999,0.47741246,0.569575743,0.221821602,-0.66832791,-0.312579026,-0.962833906,-0.054722791,0.343207709,-0.761510319,-0.004442236,-0.225861313,0.369169007,0.143411573
1943,-1.793092388,-1.253419629,-0.325249706,0.71175274,0,0.501575637,0.033315439,-0.125285741,-0.363634929,1.151020416,0.475219465,0.555519519,0.220692254,-0.63367863,-0.302607924,-0.957472507,-0.043699864,0.296934304,-0.776898471,-0.030860537,-0.254671649,0.376628748,0.136597285
